Platform=Cloudflare One,AWS Region=us-west-1,Instance=ip-172-31-4-143,Timestamp=2025-06-03T20:02:59.715226,Public IP=104.28.233.73,"Location=San Jose, US","Network ASN=AS13335 Cloudflare, Inc.",,
HTTPS,https://vnexpress.net,"Hanoi, VN",0.000643,0.235491,0.285714,0.977336,1.662341,NAs
HTTPS,https://moh.gov.my,"Kota Bharu, MY",0.000732,0.200714,0.25205,2.367633,2.560171,NAs
HTTPS,https://arynews.tv,"Austin, US",0.000604,0.00728,0.058153,0.246025,0.486805,NAs
HTTPS,https://hurriyet.com.tr,"Istanbul, TR",0.000601,0.200839,0.251723,1.454957,1.457242,NAs
HTTPS,https://aljazeera.com,"Stockholm, SE",0.000697,0.181107,0.231785,0.97091,0.972972,NAs
HTTPS,https://spiegel.de,"Frankfurt am Main, DE",0.000596,0.179844,0.231621,0.806626,0.808654,NAs
HTTPS,https://lemond.fr,"Paris, FR",0.000603,0.164091,0.214138,0.696882,0.696928,NAs
HTTPS,https://elpais.com,"San Jose, US",0.00074,0.011077,0.061672,0.10987,0.112227,NAs
HTTPS,https://ansa.it,"Falkenstein, DE",0.00072,0.171209,0.222019,0.725316,0.727478,NAs
HTTPS,https://aftonbladet.se,"Seattle, US",0.000661,0.012942,0.063507,0.730847,0.730909,NAs
HTTPS,https://wp.pl,"Gdynia, PL",0.000604,0.19196,0.241858,0.791644,0.793769,NAs
HTTPS,https://seznam.cz,"Mladá Boleslav, CZ",0.000638,0.172336,0.221973,0.774992,0.77503,NAs
HTTPS,https://cnn.gr,"Lelystad, NL",0.000628,0.151275,0.201382,0.640465,0.640506,NAs
HTTPS,https://amazon.com,"Ashburn, US",0.000654,0.083868,0.133827,0.298639,0.300586,NAs
HTTPS,https://google.com,"San Jose, US",0.000707,0.008936,0.058649,0.106246,0.108224,NAs
HTTPS,https://cbc.ca,"Santa Clara, US",0.000528,0.010795,0.0608,0.132553,0.134566,NAs
HTTPS,https://nacion.com,"San José, CR",0.000657,0.127237,0.177811,0.427741,0.431808,NAs
HTTPS,https://jamaicaobserver.com,"Boardman, US",0.000771,0.032589,0.082794,0.274342,0.276581,NAs
HTTPS,https://lapatria.bo,"Phoenix, US",0.000603,0.03211,0.08236,0.166478,0.207218,NAs
HTTPS,https://emol.com,"Santiago, CL",0.000724,0.182433,0.23303,0.595747,1.453656,NAs
HTTPS,https://elobservador.com.uy,"San Jose, US",0.00064,0.012436,0.063394,0.133186,0.135207,NAs
HTTPS,https://bbc.co.uk,"San Francisco, US",0.00068,0.010923,0.061883,0.109907,0.109953,NAs
HTTPS,https://abc.net.au,"San Jose, US",0.00055,0.013699,0.064613,0.117281,0.139642,NAs
HTTPS,https://nzherald.co.nz,"San Francisco, US",0.000693,0.007502,0.058493,0.10567,0.105741,NAs
HTTPS,https://postcourier.com.pg,"Santa Clara, US",0.000607,0.011811,0.062043,0.258129,0.269077,NAs
HTTPS,https://samoaobserver.ws,"San Francisco, US",0.000677,0.007254,0.057857,0.104898,0.104939,NAs
HTTPS,https://uol.com.br,"São Paulo, BR",0.000724,0.186522,0.237365,0.787047,0.787085,NAs
HTTPS,https://rte.ie,"San Francisco, US",0.000711,0.009976,0.06238,0.10931,0.109384,NAs
HTTPS,https://news24.com,"San Francisco, US",0.000643,0.009342,0.059348,0.106914,0.106986,NAs
UPLOAD,sse-test-bucket-af-south-1,"Cape Town, ZA",10485760,7.076,7.076,1.41,,
UPLOAD,sse-test-bucket-ap-east-1,"Hong Kong, HK",10485760,2.686,2.686,3.72,,
UPLOAD,sse-test-bucket-ap-northeast-1,"Tokyo, JP",10485760,1.666,1.666,6,,
UPLOAD,sse-test-bucket-ap-northeast-3,"Osaka, JP",10485760,1.816,1.816,5.51,,
UPLOAD,sse-test-bucket-ap-south-1,"Mumbai, IN",10485760,3.137,3.137,3.19,,
UPLOAD,sse-test-bucket-ap-south-2,"Hyderābād, IN",10485760,3.378,3.378,2.96,,
UPLOAD,sse-test-bucket-ap-southeast-1,"Singapore, SG",10485760,2.558,2.558,3.91,,
UPLOAD,sse-test-bucket-ap-southeast-2,"Sydney, AU",10485760,2.255,2.255,4.43,,
UPLOAD,sse-test-bucket-ap-southeast-4,"Melbourne, AU",10485760,2.262,2.262,4.42,,
UPLOAD,sse-test-bucket-ap-southeast-5,"Kuala Lumpur, MY",10485760,2.66,2.66,3.76,,
UPLOAD,sse-test-bucket-ca-central-1,"Montréal, CA",10485760,1.413,1.413,7.08,,
UPLOAD,sse-test-bucket-ca-west-1,"Calgary, CA",10485760,0.891,0.891,11.22,,
UPLOAD,sse-test-bucket-eu-central-1,"Frankfurt am Main, DE",10485760,2.746,2.746,3.64,,
UPLOAD,sse-test-bucket-eu-central-2,"Zürich, CH",10485760,2.471,2.471,4.05,,
UPLOAD,sse-test-bucket-eu-north-1,"Stockholm, SE",10485760,2.527,2.527,3.96,,
UPLOAD,sse-test-bucket-eu-south-1,"Milan, IT",10485760,5.921,5.921,1.69,,
UPLOAD,sse-test-bucket-eu-west-1,"Dublin, IE",10485760,2.196,2.196,4.55,,
UPLOAD,sse-test-bucket-eu-west-2,"London, GB",10485760,2.257,2.257,4.43,,
UPLOAD,sse-test-bucket-eu-west-3,"Paris, FR",10485760,2.604,2.604,3.84,,
UPLOAD,sse-test-bucket-il-central-1,"Tel Aviv, IL",10485760,2.981,2.981,3.35,,
UPLOAD,sse-test-bucket-me-central-1,"Dubai, AE",10485760,3.714,3.714,2.69,,
UPLOAD,sse-test-bucket-me-south-1,"Dār Kulayb, BH",10485760,3.576,3.576,2.8,,
UPLOAD,sse-test-bucket-mx-central-1,"Santiago de Querétaro, MX",10485760,1.287,1.287,7.77,,
UPLOAD,sse-test-bucket-sa-east-1,"São Paulo, BR",10485760,2.943,2.943,3.4,,
UPLOAD,sse-test-bucket-us-east-1,"Ashburn, US",10485760,1.478,1.478,6.76,,
UPLOAD,sse-test-bucket-us-west-1,"San Jose, US",10485760,0.612,0.612,16.34,,
DOWNLOAD,sse-test-bucket-af-south-1,"Cape Town, ZA",1.357,6.487,5.951,13.795,0.72,10485760
DOWNLOAD,sse-test-bucket-ap-east-1,"Hong Kong, HK",0.719,1.782,0.582,3.083,3.24,10485760
DOWNLOAD,sse-test-bucket-ap-northeast-1,"Tokyo, JP",0.544,1.066,0.545,2.154,4.64,10485760
DOWNLOAD,sse-test-bucket-ap-northeast-3,"Osaka, JP",0.484,1.04,0.567,2.091,4.78,10485760
DOWNLOAD,sse-test-bucket-ap-south-1,"Mumbai, IN",0.891,6.509,5.443,12.842,0.78,10485760
DOWNLOAD,sse-test-bucket-ap-south-2,"Hyderābād, IN",1.074,6.411,5.807,13.292,0.75,10485760
DOWNLOAD,sse-test-bucket-ap-southeast-1,"Singapore, SG",0.717,2.28,0.578,3.575,2.8,10485760
DOWNLOAD,sse-test-bucket-ap-southeast-2,"Sydney, AU",0.742,1.259,0.567,2.567,3.9,10485760
DOWNLOAD,sse-test-bucket-ap-southeast-4,"Melbourne, AU",0.797,1.512,0.572,2.881,3.47,10485760
DOWNLOAD,sse-test-bucket-ap-southeast-5,"Kuala Lumpur, MY",0.855,1.708,0.608,3.171,3.15,10485760
DOWNLOAD,sse-test-bucket-ca-central-1,"Montréal, CA",0.493,0.719,0.571,1.782,5.61,10485760
DOWNLOAD,sse-test-bucket-ca-west-1,"Calgary, CA",0.273,0.468,0.556,1.297,7.71,10485760
DOWNLOAD,sse-test-bucket-eu-central-1,"Frankfurt am Main, DE",0.686,1.63,0.587,2.903,3.45,10485760
DOWNLOAD,sse-test-bucket-eu-central-2,"Zürich, CH",0.816,1.481,0.573,2.87,3.48,10485760
DOWNLOAD,sse-test-bucket-eu-north-1,"Stockholm, SE",0.746,2.206,0.578,3.53,2.83,10485760
DOWNLOAD,sse-test-bucket-eu-south-1,"Milan, IT",0.832,2.103,0.569,3.504,2.85,10485760
DOWNLOAD,sse-test-bucket-eu-west-1,"Dublin, IE",0.591,1.268,0.588,2.448,4.09,10485760
DOWNLOAD,sse-test-bucket-eu-west-2,"London, GB",0.55,1.234,0.574,2.358,4.24,10485760
DOWNLOAD,sse-test-bucket-eu-west-3,"Paris, FR",0.739,1.682,0.574,2.995,3.34,10485760
DOWNLOAD,sse-test-bucket-il-central-1,"Tel Aviv, IL",0.998,1.899,0.574,3.471,2.88,10485760
DOWNLOAD,sse-test-bucket-me-central-1,"Dubai, AE",1.236,2.468,0.564,4.269,2.34,10485760
DOWNLOAD,sse-test-bucket-me-south-1,"Dār Kulayb, BH",1.198,6.5,5.864,13.562,0.74,10485760
DOWNLOAD,sse-test-bucket-mx-central-1,"Santiago de Querétaro, MX",0.368,0.679,0.589,1.636,6.11,10485760
